fighter,total_fights,head_tar_pct,body_tar_pct,leg_tar_pct,dist_pos_pct,clinch_pos_pct,ground_pos_pct,ctrl_pct,kd_avg,sub_att_avg,td_pct,sig_str_pct,win_rate,height,reach,stance,weight_class,first_active_year,last_active_year,cluster,archetype,pca_x,pca_y
AALON CRUZ,2,50.0,0.0,0.0,50.0,0.0,0.0,0.08441176470588235,0.0,0.0,0.0,8.0,0.0,182.88,198.12,Switch,Lightweight,2020,2021,5,Legacy / Historical (Limited Stats),-0.8012773151183277,-0.8988531834813218
AARON BRINK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,190.5,195.58,Orthodox,Heavyweight,2000,2000,5,Legacy / Historical (Limited Stats),-0.7901836056096728,1.119227601148158
AARON PHILLIPS,4,36.0,58.0,4.25,65.75,20.25,12.75,0.12195063103192279,0.0,0.5,15.0,49.5,0.0,175.26,180.34,Southpaw,Bantamweight,2014,2023,3,Clinch Boxer,-0.6126641026342938,2.1674463363317287
AARON PICO,1,53.0,38.0,7.0,53.0,23.0,23.0,0.6019900497512438,0.0,0.0,66.0,44.0,0.0,175.26,180.34,Orthodox,Featherweight,2025,2025,1,Ground Controller,2.310754779359009,1.309466360400896
AARON RILEY,9,35.0,32.55555555555556,31.333333333333332,63.111111111111114,31.11111111111111,5.0,0.16573998345624644,0.0,0.1111111111111111,25.22222222222222,34.44444444444444,0.3333333333333333,172.72,175.26,Southpaw,Lightweight,2002,2013,3,Clinch Boxer,-0.9936444794215139,1.8973155341941275
AARON ROSA,3,39.333333333333336,22.0,4.333333333333333,38.0,28.0,0.0,0.02351689882302127,0.0,0.0,0.0,33.0,0.3333333333333333,193.04,195.58,Orthodox,Light Heavyweight,2011,2012,3,Clinch Boxer,-0.9770320586168216,1.37428809441192
AARON SIMPSON,11,58.63636363636363,20.454545454545453,19.545454545454547,34.45454545454545,38.27272727272727,25.90909090909091,0.43272842606350465,0.5454545454545454,0.36363636363636365,44.63636363636363,55.72727272727273,0.6363636363636364,182.88,185.42,Orthodox,Welterweight,2009,2012,2,Ground & Pound Wrestler,2.0780530401319237,0.851949095405957
AARON WILKINSON,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5203252032520326,0.0,0.0,100.0,0.0,0.0,177.8,180.34,Orthodox,Lightweight,2010,2010,5,Legacy / Historical (Limited Stats),2.292058173223908,1.2384204390042874
ABDUL RAKHMAN YAKHYAEV,1,100.0,0.0,0.0,50.0,0.0,50.0,0.7272727272727273,1.0,1.0,100.0,60.0,1.0,187.96,193.04,Orthodox,Light Heavyweight,2025,2025,2,Submission Grappler,5.602293884712252,-3.1141294222110423
ABDUL RAZAK ALHASSAN,14,73.07142857142857,10.928571428571429,15.0,71.07142857142857,15.071428571428571,12.857142857142858,0.19926841015698457,0.6428571428571429,0.07142857142857142,9.5,58.5,0.4642857142857143,177.8,185.42,Orthodox,Middleweight,2016,2025,4,Distance Sniper,-0.1624789153158545,-1.5390155336197144
ABDUL-KAREEM AL-SELWADY,2,49.0,18.5,31.5,88.0,9.5,1.0,0.13690378359869887,0.0,0.0,21.0,55.0,0.5,177.8,180.34,Orthodox,Lightweight,2024,2026,0,Leg Kick Specialist,-1.5870320560234619,-0.14935801878584143
