fighter,year,weight_class,cumulative_fights,head_tar_pct,body_tar_pct,leg_tar_pct,dist_pos_pct,clinch_pos_pct,ground_pos_pct,ctrl_pct,kd_avg,sub_att_avg,td_pct,sig_str_pct,win_rate,archetype,pca_x,pca_y,height,reach,stance
AALON CRUZ,2020,Featherweight,1,100.0,0.0,0.0,100.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,16.0,0.0,Legacy / Historical (Limited Stats),-0.8012773151183277,-0.8988531834813218,182.88,198.12,Switch
AALON CRUZ,2021,Lightweight,2,50.0,0.0,0.0,50.0,0.0,0.0,0.08441176470588235,0.0,0.0,0.0,8.0,0.0,Legacy / Historical (Limited Stats),-0.8012773151183277,-0.8988531834813218,182.88,198.12,Switch
AARON BRINK,2000,Heavyweight,1,0.0,0.0,0.0,0.0,0.0,0.0,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,Legacy / Historical (Limited Stats),-0.7901836056096728,1.119227601148158,190.5,195.58,Orthodox
AARON PHILLIPS,2014,Bantamweight,2,43.5,48.5,6.0,43.0,30.0,25.5,0.03777777777777778,0.0,0.5,0.0,57.5,0.0,Clinch Boxer,-0.6126641026342938,2.1674463363317287,175.26,180.34,Southpaw
AARON PHILLIPS,2020,Bantamweight,3,34.333333333333336,60.0,4.0,56.333333333333336,25.333333333333332,17.0,0.02889713767219335,0.0,0.3333333333333333,0.0,51.666666666666664,0.0,Clinch Boxer,-0.6126641026342938,2.1674463363317287,175.26,180.34,Southpaw
AARON PHILLIPS,2023,Bantamweight,4,36.0,58.0,4.25,65.75,20.25,12.75,0.12195063103192279,0.0,0.5,15.0,49.5,0.0,Clinch Boxer,-0.6126641026342938,2.1674463363317287,175.26,180.34,Southpaw
AARON PICO,2025,Featherweight,1,53.0,38.0,7.0,53.0,23.0,23.0,0.6019900497512438,0.0,0.0,66.0,44.0,0.0,Wrestling Controller,2.310754779359009,1.309466360400896,175.26,180.34,Orthodox
AARON RILEY,2002,Welterweight,1,32.0,32.0,34.0,56.0,43.0,0.0,0.09555555555555556,0.0,1.0,0.0,42.0,0.0,Clinch Boxer,-0.9936444794215139,1.8973155341941275,172.72,175.26,Southpaw
AARON RILEY,2006,Welterweight,2,27.0,38.0,33.5,33.5,60.0,5.5,0.19611111111111112,0.0,0.5,25.0,40.5,0.0,Clinch Boxer,-0.9936444794215139,1.8973155341941275,172.72,175.26,Southpaw
AARON RILEY,2008,Lightweight,3,39.333333333333336,32.333333333333336,27.0,45.666666666666664,47.0,6.333333333333333,0.18592592592592594,0.0,0.3333333333333333,50.0,41.666666666666664,0.3333333333333333,Clinch Boxer,-0.9936444794215139,1.8973155341941275,172.72,175.26,Southpaw
AARON RILEY,2009,Lightweight,6,35.666666666666664,34.0,29.5,53.666666666666664,39.166666666666664,6.5,0.19212849370288818,0.0,0.16666666666666666,31.666666666666668,38.166666666666664,0.3333333333333333,Clinch Boxer,-0.9936444794215139,1.8973155341941275,172.72,175.26,Southpaw
AARON RILEY,2010,Lightweight,7,35.714285714285715,32.42857142857143,30.857142857142858,54.285714285714285,38.42857142857143,6.428571428571429,0.2130942644437454,0.0,0.14285714285714285,32.42857142857143,39.0,0.42857142857142855,Clinch Boxer,-0.9936444794215139,1.8973155341941275,172.72,175.26,Southpaw
